Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nepal,Consumer Price Index CPI,2017-11-30T00:00:00,120.59,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2017-12-31T00:00:00,119.92,Monthly,NEPALCPIC,2018-01-25T17:49:00
Nepal,Consumer Price Index CPI,2018-01-31T00:00:00,118.5,Monthly,NEPALCPIC,2018-05-02T16:40:00
Nepal,Consumer Price Index CPI,2018-02-28T00:00:00,119,Monthly,NEPALCPIC,2018-05-02T16:40:00
Nepal,Consumer Price Index CPI,2018-03-31T00:00:00,119.1,Monthly,NEPALCPIC,2018-05-02T16:40:00
Nepal,Consumer Price Index CPI,2018-04-30T00:00:00,119.5,Monthly,NEPALCPIC,2018-06-12T11:32:00
Nepal,Consumer Price Index CPI,2018-05-31T00:00:00,120,Monthly,NEPALCPIC,2018-06-12T11:32:00
Nepal,Consumer Price Index CPI,2018-06-30T00:00:00,120.3,Monthly,NEPALCPIC,2018-09-06T14:32:00
Nepal,Consumer Price Index CPI,2018-07-31T00:00:00,121.3,Monthly,NEPALCPIC,2018-09-06T14:33:00
Nepal,Consumer Price Index CPI,2018-08-31T00:00:00,123.3,Monthly,NEPALCPIC,2018-10-17T14:11:00
Nepal,Consumer Price Index CPI,2018-09-30T00:00:00,124,Monthly,NEPALCPIC,2018-11-05T14:35:00
Nepal,Consumer Price Index CPI,2018-10-31T00:00:00,124.8,Monthly,NEPALCPIC,2018-11-26T12:01:00
Nepal,Consumer Price Index CPI,2018-11-30T00:00:00,125.6,Monthly,NEPALCPIC,2019-02-13T16:42:00
Nepal,Consumer Price Index CPI,2018-12-31T00:00:00,124.4,Monthly,NEPALCPIC,2019-02-13T16:42:00
Nepal,Consumer Price Index CPI,2019-01-31T00:00:00,123.9,Monthly,NEPALCPIC,2019-02-13T16:42:00
Nepal,Consumer Price Index CPI,2019-02-28T00:00:00,124.2,Monthly,NEPALCPIC,2019-04-03T12:03:00
Nepal,Consumer Price Index CPI,2019-03-31T00:00:00,124.1,Monthly,NEPALCPIC,2019-05-07T09:54:00
Nepal,Consumer Price Index CPI,2019-04-30T00:00:00,124.8,Monthly,NEPALCPIC,2019-06-05T16:23:00
Nepal,Consumer Price Index CPI,2019-05-31T00:00:00,126.3,Monthly,NEPALCPIC,2019-07-12T15:57:00
Nepal,Consumer Price Index CPI,2019-06-30T00:00:00,127.74,Monthly,NEPALCPIC,2019-07-20T10:21:00
Nepal,Consumer Price Index CPI,2019-07-31T00:00:00,128.55,Monthly,NEPALCPIC,2019-09-07T10:24:00
Nepal,Consumer Price Index CPI,2019-08-31T00:00:00,131.87,Monthly,NEPALCPIC,2019-09-28T10:16:00
Nepal,Consumer Price Index CPI,2019-09-30T00:00:00,131.67,Monthly,NEPALCPIC,2019-10-26T10:16:00
Nepal,Consumer Price Index CPI,2019-10-31T00:00:00,132.56,Monthly,NEPALCPIC,2019-11-23T10:18:00
Nepal,Consumer Price Index CPI,2019-11-30T00:00:00,132.82,Monthly,NEPALCPIC,2019-12-28T10:20:00
Nepal,Consumer Price Index CPI,2019-12-31T00:00:00,132.51,Monthly,NEPALCPIC,2020-01-22T16:40:00
Nepal,Consumer Price Index CPI,2020-01-31T00:00:00,132.38,Monthly,NEPALCPIC,2020-02-22T10:18:00
Nepal,Consumer Price Index CPI,2020-02-29T00:00:00,132.76,Monthly,NEPALCPIC,2020-03-19T14:35:00
Nepal,Consumer Price Index CPI,2020-03-31T00:00:00,132.4,Monthly,NEPALCPIC,2020-04-25T10:19:00
Nepal,Consumer Price Index CPI,2020-04-30T00:00:00,133.22,Monthly,NEPALCPIC,2020-05-23T10:18:00
Nepal,Consumer Price Index CPI,2020-05-31T00:00:00,133.67,Monthly,NEPALCPIC,2020-06-23T23:49:00
Nepal,Consumer Price Index CPI,2020-06-30T00:00:00,133.54,Monthly,NEPALCPIC,2020-07-25T10:19:00
Nepal,Consumer Price Index CPI,2020-07-31T00:00:00,134.69,Monthly,NEPALCPIC,2020-08-29T10:28:00
Nepal,Consumer Price Index CPI,2020-08-31T00:00:00,136.48,Monthly,NEPALCPIC,2020-09-26T10:24:00
